"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16008","Update Full Name successfully","chromium","2026-08-18","passed","2026-08-18","Customer - Update Full Name","update-full-name.spec.ts","",""
"","6033","Update Full Name successfully","webkit","2026-08-18","passed","2026-08-18","Customer - Update Full Name","update-full-name.spec.ts","",""
"","7010","should add a single product to the cart and verify quantity on cart page","firefox","2026-08-18","passed","2026-08-18","Admin - Add product to cart","add-single-product-to-card.spec.ts","",""
"","11988","should add a single product to the cart and verify quantity on cart page","chromium","2026-08-18","passed","2026-08-18","Admin - Add product to cart","add-single-product-to-card.spec.ts","",""
"","9451","checkout succeeds with valid receiver info (COD)","webkit","2026-08-18","passed","2026-08-18","Admin - Checkout (COD)","check-out-with-valid-receiver-info-cod.spec.ts","",""
"","8090","should add a single product to the cart and verify quantity on cart page","webkit","2026-08-18","passed","2026-08-18","Admin - Add product to cart","add-single-product-to-card.spec.ts","",""
"","6426","checkout succeeds with valid receiver info (COD)","firefox","2026-08-18","passed","2026-08-18","Admin - Checkout (COD)","check-out-with-valid-receiver-info-cod.spec.ts","",""
"","6725","checkout succeeds with valid receiver info (COD)","webkit","2026-08-18","passed","2026-08-18","Customer - Checkout (COD)","check-out-with-valid-receiver-info-cod.spec.ts","",""
"","7644","should add a single product to the cart and verify quantity on cart page","webkit","2026-08-18","passed","2026-08-18","Customer - Add product to cart","add-single-product-to-card.spec.ts","",""
"","10940","Update Full Name successfully","webkit","2026-08-18","passed","2026-08-18","Admin - Update Full Name","update-full-name.spec.ts","",""
"","11314","checkout succeeds with valid receiver info (COD)","chromium","2026-08-18","passed","2026-08-18","Customer - Checkout (COD)","check-out-with-valid-receiver-info-cod.spec.ts","",""
"","4121","checkout succeeds with valid receiver info (COD)","firefox","2026-08-18","passed","2026-08-18","Customer - Checkout (COD)","check-out-with-valid-receiver-info-cod.spec.ts","",""
"","11638","checkout succeeds with valid receiver info (COD)","chromium","2026-08-18","passed","2026-08-18","Admin - Checkout (COD)","check-out-with-valid-receiver-info-cod.spec.ts","",""
"","12827","should add a single product to the cart and verify quantity on cart page","chromium","2026-08-18","passed","2026-08-18","Customer - Add product to cart","add-single-product-to-card.spec.ts","",""
"","8992","should add a single product to the cart and verify quantity on cart page","firefox","2026-08-18","passed","2026-08-18","Customer - Add product to cart","add-single-product-to-card.spec.ts","",""
"","17579","Update Full Name successfully","firefox","2026-08-18","passed","2026-08-18","Admin - Update Full Name","update-full-name.spec.ts","",""
"","5612","Update Full Name successfully","firefox","2026-08-18","passed","2026-08-18","Customer - Update Full Name","update-full-name.spec.ts","",""
"","43798","Update Full Name successfully","chromium","2026-08-18","failed","2026-08-18","Admin - Update Full Name","update-full-name.spec.ts","",""
